EVENT DATE,Program,MUNICIPALITY, REGION,PRIMARY OCCUPATION CODE,OCCUPATION DESCRIPTION,SECTOR CODE,SECTOR DESCRIPTION,WORKER COUNT
1/4/2017,Industrial Health & Safety Program,Scarborough,Central East,722512,Limited-service eating places,FOOD,"Food, Beverage & Tobacco",20 to 49
12/30/2017,Industrial Health & Safety Program,North Bay,Northern,332510,Hardware Manufacturing,FABR,Wood & Metal Fabrication,6 to 19
1/2/2017,Industrial Health & Safety Program,Whitby,Central East,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
1/8/2017,Industrial Health & Safety Program,Toronto,Central East,326193,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
12/31/2017,Industrial Health & Safety Program,Toronto,Central East,493110,General Warehousing and Storage,NECI,NEC - Industrial,20 to 49
1/7/2017,Industrial Health & Safety Program,Sault Ste. Marie,Northern,448199,All Other Clothing Stores,RETL,Retail,6 to 19
1/5/2017,Industrial Health & Safety Program,Scarborough,Central East,113311,Logging (except Contract),LOGS,Logging & Sawmills,1 to 5
1/3/2017,Construction Health & Safety Program,TIMMINS,Northern,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,6 to 19
1/2/2017,Industrial Health & Safety Program,Hamilton,South Western,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,STEL,Primary Metals,50 or More
1/6/2017,Industrial Health & Safety Program,Toronto,Central East,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
12/29/2017,Industrial Health & Safety Program,Stoney Creek,South Western,452991,Home and Auto Supplies Stores,VEHS,Vehicle Sales & Service,20 to 49
1/2/2017,Industrial Health & Safety Program,Thunder Bay,Northern,326290,Other rubber product manufacturing,CHEM,"Chemical, Rubber & Plastics",6 to 19
12/29/2017,Industrial Health & Safety Program,Ottawa,Eastern,442298,All Other Home Furnishings Stores,RETL,Retail,50 or More
1/1/2017,Industrial Health & Safety Program,Lively,Northern,611310,Universities,EDUC,Education,50 or More
1/9/2017,Health Care Health & Safety Program,Tillsonburg,Western,621610,Home Health Care Services,NSER,Nursing Services,
1/7/2017,Construction Health & Safety Program,Toronto,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
12/30/2017,Industrial Health & Safety Program,Toronto,Central East,332999,All other miscellaneous fabricated metal product manufacturing,AUTO,Automotive,50 or More
1/8/2017,Industrial Health & Safety Program,BROUGHAM,Central East,912910,Other Provincial and Territorial Public Administration,GOVT,Government,50 or More
1/6/2017,Industrial Health & Safety Program,Brampton,Central West,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
1/4/2017,Industrial Health & Safety Program,Bowmanville,Central East,325410,Pharmaceutical and Medicine Manufacturing,NECI,NEC - Industrial,50 or More
1/6/2017,Construction Health & Safety Program,North Bay,Northern,237990,Other Heavy and Civil Engineering Construction,RAIL,Railway,50 or More
1/4/2017,Industrial Health & Safety Program,Burlington,South Western,444130,Hardware Stores,RETL,Retail,50 or More
12/30/2017,Industrial Health & Safety Program,North York,Central East,611110,Elementary and Secondary Schools,EDUC,Education,6 to 19
1/5/2017,Industrial Health & Safety Program,LONDON,Western,332321,Metal Window and Door Manufacturing,FABR,Wood & Metal Fabrication,20 to 49
12/30/2017,Industrial Health & Safety Program,Scarborough,Central East,721111,Hotels,SERV,"Tourism, Hospitality & Recreational Services",50 or More
1/6/2017,Construction Health & Safety Program,KITCHENER,Western,237310,"Highway, Street and Bridge Construction",ROAD,Highway & Road Construction,1 to 5
1/1/2017,Industrial Health & Safety Program,Mississauga,Central West,327310,Cement Manufacturing,NECI,NEC - Industrial,50 or More
1/5/2017,Industrial Health & Safety Program,Oshawa,Central East,485110,Urban Transit Systems,TRAN,Transportation,50 or More
1/9/2017,Industrial Health & Safety Program,SPRINGWATER TWP,Central West,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
1/5/2017,Construction Health & Safety Program,Elliot Lake,Northern,236220,Commercial and Institutional Building Construction,INST,Institutional Building Construction,20 to 49
1/11/2017,Mining Health & Safety Program,Ajax,Central East,212232,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
1/12/2017,Industrial Health & Safety Program,Dryden,Northern,722512,Limited-service eating places,REST,Restaurants,1 to 5
1/6/2017,Health Care Health & Safety Program,Milton,South Western,621610,Home Health Care Services,NSER,Nursing Services,50 or More
1/8/2017,Construction Health & Safety Program,Georgetown,South Western,236110,Residential Building Construction,RESS,Single Family Housing,20 to 49
1/5/2017,Industrial Health & Safety Program,Toronto,Central East,712130,Zoos and Botanical Gardens,SERV,"Tourism, Hospitality & Recreational Services",50 or More
1/2/2017,Industrial Health & Safety Program,Pickering,Central East,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
1/11/2017,Construction Health & Safety Program,Burlington,South Western,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
1/29/2017,Industrial Health & Safety Program,Pontypool,Central East,336990,Other Transportation Equipment Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2/2/2017,Industrial Health & Safety Program,Whitby,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
1/29/2017,Construction Health & Safety Program,Scarborough,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,20 to 49
2/8/2017,Industrial Health & Safety Program,Mississauga,Central West,611110,Elementary and Secondary Schools,EDUC,Education,
2/2/2017,Industrial Health & Safety Program,,,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
1/30/2017,Industrial Health & Safety Program,Brampton,Central West,611710,Educational Support Services,EDUC,Education,20 to 49
2/6/2017,Industrial Health & Safety Program,Ingersoll,Western,322122,Newsprint Mills,PULP,"Pulp, Paper",50 or More
1/30/2017,Construction Health & Safety Program,,,236110,Residential Building Construction,RESS,Single Family Housing,20 to 49
2/4/2017,Construction Health & Safety Program,L'Orignal,Eastern,236210,Industrial Building and Structure Construction,INDU,Industrial Building Construction,50 or More
1/29/2017,Industrial Health & Safety Program,ORILLIA,Central West,493110,General Warehousing and Storage,AUTO,Automotive,50 or More
2/6/2017,Industrial Health & Safety Program,North York,,493190,Other Warehousing and Storage,INDS,Industrial Services,50 or More
2/5/2017,Construction Health & Safety Program,HAMILTON,South Western,238160,Roofing Contractors,COMM,Commercial Building Construction,1 to 5
2/3/2017,Industrial Health & Safety Program,Tiverton,Western,912910,Other Provincial and Territorial Public Administration,GOVT,Government,6 to 19
1/30/2017,Industrial Health & Safety Program,Holland Landing,Central West,321920,Wood Container and Pallet Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2/6/2017,Industrial Health & Safety Program,Mississauga,Central West,311520,Ice Cream and Frozen Dessert Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
