Accident_Date,Worker_age,Occupation_Category_Code,Occupation_Category_Description,Occupation_Code,Occupation_Description,Worker_Experience_in_Years,Accident_Source_Category_Description1,Source_Category_Description2,Accident_Category_Description,Accident_Place_Description,Organization_City,Organization_Province_Code,Industry_Sector_Description
10/14/2023,58,72,FACILITY OPERATION AND MAINTENANCE MANAGERS,722,FACILITY OPERATION MANAGERS,0.5,FLOORS,UNKNOWN,FALL ON SAME LEVEL,PLACE NOT SPECIFIED,MARKHAM,ON,TRANSPORTATION
11/4/2023,29,732,MOTOR VEHICLE MECHANICS,7322,"MOTOR VEHICLE MECHANICS, TECHNICIANS AND MECHANICAL REPAIRER",0.5,TRUCK,"VEHICLE & MOBILE EQUIP. PARTS, N.E.C.",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,FARM.,WINNIPEG,MB,INDUSTRIAL
12/17/2023,30,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,"PLANT & INDUSTRIAL POWERED VEHICLE, N.E.C.","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK BY OBJECT,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",HARRISTON,ON,INDUSTRIAL
11/13/2023,64,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9613,LABOURERS IN METAL FABRICATION,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PLACE FOR SPORTS AND RECREATION.,MARKHAM,ON,MANUFACTURING
11/13/2023,74,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,OTHER STRUCTURES,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,NEWCASTLE,ON,INDUSTRIAL
7/9/2023,28,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","SCAFFOLDS, STAGING",BODILY REACTION,INDUSTRIAL SITE.,NEWMARKET,ON,CONSTRUCTION
12/17/2023,23,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",OTHER SOURCES,BODILY REACTION,INDUSTRIAL SITE.,PEMBROKE,ON,CONSTRUCTION
10/28/2023,70,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7413,BUS DRIVERS AND SUBWAY AND OTHER TRANSIT OPERATORS,0.5,BUS,"STAIRS, STEPS",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,NEPEAN,ON,TRANSPORTATION
11/23/2023,45,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,,"METAL MATERIALS--NONSTRUCTURAL, N.E.C.","SKIDS, PALLETS",STRUCK AGAINST OBJECT,INDUSTRIAL SITE.,MARKHAM,ON,SERVICES
12/26/2023,72,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,"TANKS, BINS, VATS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",MARKHAM,ON,INDUSTRIAL
10/30/2023,42,624,CHEFS AND COOKS,6243,COOKS,0.5,CANS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK BY OBJECT,BUILDING UNDER CONSTRUCTION.,GLOUCESTER,ON,INDUSTRIAL
11/13/2023,40,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,"OTHER CONTRUCTION, LOGGING, AND MINING MACHINERY","PERSON--INJURED OR ILL WORKER, N.E.C.",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PLACE NOT SPECIFIED,RICHMOND HILL,ON,CONSTRUCTION
12/21/2023,52,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,"PIPES, DUCTS, TUBING",FORKLIFT,STRUCK BY OBJECT,HOME.,MISSISSAUGA,ON,MANUFACTURING
11/11/2023,53,662,OTHER SALES AND RELATED OCCUPATIONS,6623,GROCERY CLERKS AND SHELF STOCKERS,0.5,WINDOWS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,BUILDING UNDER CONSTRUCTION.,MARKHAM,ON,INDUSTRIAL
12/3/2023,38,943,MACHINE OPERATORS & REL. WRKRS. IN PULP & PAPER PROD. & WOOD,9432,SAWMILL MACHINE OPERATORS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",BRAMPTON,ON,MANUFACTURING
12/12/2023,53,62,MANAGERS IN RETAIL TRADE,622,RETAIL TRADE MANAGERS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,HAMILTON,ON,INDUSTRIAL
6/26/2023,30,725,"PLUMBERS, PIPEFITTERS AND GAS FITTERS",7254,GAS FITTERS,0.5,"PIPES, DUCTS, TUBING","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,OTTAWA,ON,CONSTRUCTION
12/14/2023,59,721,"CONTRACTORS AND SUPERVISORS, TRADES AND RELATED WORKERS",7219,"CONTRACTORS AND SUPERVISORS, OTHER CONSTRUCTION TRADES, INST",0.5,"FLOORS, WALKWAYS, GROUND SURFACES, UNS","SCAFFOLDS, STAGING",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,OAKVILLE,ON,CONSTRUCTION
12/1/2023,24,668,OTHER ELEMENTAL SERVICE OCCUPATIONS,6684,OTHER ELEMENTAL SERVICE OCCUPATIONS,,"STREET, ROAD","SKIDS, PALLETS",FALL ON SAME LEVEL,STREET AND HIGHWAY.,SAINT-HUBERT,QC,SERVICES
11/3/2023,55,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3414,NURSE AIDES AND ORDERLIES,0.5,WHEELCHAIRS,HEALTH CARE PATIENT OR RESIDENT OF HEALTH CARE FACILITY,STRUCK BY OBJECT,PUBLIC BUILDINGS.,DRYDEN,ON,HEALTH CARE
11/21/2023,24,666,CLEANERS,6663,SPECIALIZED CLEANERS,0.5,"LADDERS, N.E.C.","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK BY OBJECT,PUBLIC BUILDINGS.,MINDEN,ON,MANUFACTURING
12/4/2023,55,412,UNIVERSITY PROFESSORS AND ASSISTANTS,4122,UNIVERSITY PROFESSORS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,THUNDER BAY,ON,EDUCATION-INDUSTRIAL
11/13/2023,52,949,OTHER ASSEMBLY AND RELATED OCCUPATIONS,9499,OTHER ASSEMBLERS AND INSPECTORS,0.5,"TABLES, WORKTABLES","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,ETOBICOKE,ON,MANUFACTURING
5/12/2023,49,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7242,ELECTRICIANS (EXCEPT INDUSTRIAL AND POWER SYSTEM),1,STRUCTURAL METAL MATERIALS,"PIPES, DUCTS, TUBING",OVEREXERTION,PUBLIC BUILDINGS.,SCARBOROUGH,ON,CONSTRUCTION
