EVENT DATE,Program,MUNICIPALITY,REGION,PRIMARY OCCUPATION CODE,OCCUPATION DESCRIPTION,SECTOR CODE,SECTOR DESCRIPTION,WORKER COUNT
2017-01-04,Industrial Health & Safety Program,Scarborough,Central East,722512.0,Limited-service eating places,FOOD,"Food, Beverage & Tobacco",20 to 49
2017-12-30,Industrial Health & Safety Program,North Bay,Northern,332510.0,Hardware Manufacturing,FABR,Wood & Metal Fabrication,6 to 19
2017-01-02,Industrial Health & Safety Program,Whitby,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,20 to 49
2017-01-08,Industrial Health & Safety Program,Toronto,Central East,326193.0,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
2017-12-31,Industrial Health & Safety Program,Toronto,Central East,493110.0,General Warehousing and Storage,NECI,NEC - Industrial,20 to 49
2017-01-07,Industrial Health & Safety Program,Sault Ste. Marie,Northern,448199.0,All Other Clothing Stores,RETL,Retail,6 to 19
2017-01-05,Industrial Health & Safety Program,Scarborough,Central East,113311.0,Logging (except Contract),LOGS,Logging & Sawmills,1 to 5
2017-01-03,Construction Health & Safety Program,TIMMINS,Northern,236110.0,Residential Building Construction,RESM,Apartment & Other Multiple Housing,6 to 19
2017-01-02,Industrial Health & Safety Program,Hamilton,South Western,331110.0,Iron and Steel Mills and Ferro-Alloy Manufacturing,STEL,Primary Metals,50 or More
2017-01-06,Industrial Health & Safety Program,Toronto,Central East,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
2017-12-29,Industrial Health & Safety Program,Stoney Creek,South Western,452991.0,Home and Auto Supplies Stores,VEHS,Vehicle Sales & Service,20 to 49
2017-01-02,Industrial Health & Safety Program,Thunder Bay,Northern,326290.0,Other rubber product manufacturing,CHEM,"Chemical, Rubber & Plastics",6 to 19
2017-12-29,Industrial Health & Safety Program,Ottawa,Eastern,442298.0,All Other Home Furnishings Stores,RETL,Retail,50 or More
2017-01-01,Industrial Health & Safety Program,Lively,Northern,611310.0,Universities,EDUC,Education,50 or More
2017-01-09,Health Care Health & Safety Program,Tillsonburg,Western,621610.0,Home Health Care Services,NSER,Nursing Services,50 or More
2017-01-07,Construction Health & Safety Program,Toronto,Central East,236220.0,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
2017-12-30,Industrial Health & Safety Program,Toronto,Central East,332999.0,All other miscellaneous fabricated metal product manufacturing,AUTO,Automotive,50 or More
2017-01-08,Industrial Health & Safety Program,BROUGHAM,Central East,912910.0,Other Provincial and Territorial Public Administration,GOVT,Government,50 or More
2017-01-06,Industrial Health & Safety Program,Brampton,Central West,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
2017-01-04,Industrial Health & Safety Program,Bowmanville,Central East,325410.0,Pharmaceutical and Medicine Manufacturing,NECI,NEC - Industrial,50 or More
2017-01-06,Construction Health & Safety Program,North Bay,Northern,237990.0,Other Heavy and Civil Engineering Construction,RAIL,Railway,50 or More
2017-01-04,Industrial Health & Safety Program,Burlington,South Western,444130.0,Hardware Stores,RETL,Retail,50 or More
2017-12-30,Industrial Health & Safety Program,North York,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,6 to 19
2017-01-05,Industrial Health & Safety Program,LONDON,Western,332321.0,Metal Window and Door Manufacturing,FABR,Wood & Metal Fabrication,20 to 49
2017-12-30,Industrial Health & Safety Program,Scarborough,Central East,721111.0,Hotels,SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-01-06,Construction Health & Safety Program,KITCHENER,Western,237310.0,"Highway, Street and Bridge Construction",ROAD,Highway & Road Construction,1 to 5
2017-01-01,Industrial Health & Safety Program,Mississauga,Central West,327310.0,Cement Manufacturing,NECI,NEC - Industrial,50 or More
2017-01-05,Industrial Health & Safety Program,Oshawa,Central East,485110.0,Urban Transit Systems,TRAN,Transportation,50 or More
